"user_id","first_name","last_name","email","password","created_by","created_date","modified_by","modified_date","is_active","is_deleted","birth_date","address","mobile_number"
"e32c76b7-aebd-4875-a513-a10ee1692ab3","Alice","Smith","alice@example.com","encrypted_pass_123",NULL,"2026-07-22 11:42:51.761988",NULL,NULL,True,False,"1985-06-15","123 Maple Street","555-1234"
"cd453170-54c5-4344-a63e-3e6ac9ce2e17","Bob","Jones","bob@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1990-08-20","456 Oak Ave","555-5678"
"95d21341-1c53-4a5a-b073-9e8a16759c37","Charlie","Brown","charlie@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1975-12-05","789 Pine Rd","555-9012"
"ccf8b995-babd-4767-b8d5-f8a2a3e2873b","Diana","Prince","diana@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1988-03-22","321 Elm St","555-3456"
"1919e703-f28e-4211-91dd-fb06415aec78","Evan","Wright","evan@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1995-11-10","654 Birch Blvd","555-7890"
"78d3c24a-39b3-4756-8d96-ca79213165e6","Fiona","Gallagher","fiona@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1992-07-08","987 Cedar Ln","555-2345"
"d2db4b65-c5e7-4fd2-a946-8ce9198d3000","George","Miller","george@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1980-02-14","147 Spruce Ct","555-6789"
"4bac8c60-0deb-4dda-a33c-5c64660b4aaf","Hannah","Abbott","hannah@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1998-09-30","258 Willow Dr","555-0123"
"eebcc8e0-99b0-479b-bbc3-eb1e07179bbb","Ian","Malcolm","ian@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1970-05-18","369 Aspen Way","555-4567"
"4e743f63-af6f-4ec0-b123-1f5e76331c18","Julia","Roberts","julia@example.com","pass123",NULL,"2026-07-22 11:46:26.208063",NULL,NULL,True,False,"1982-10-25","741 Cherry Pl","555-8901"
